Country,Year,Forecast_Value,Metric,Model
DZA,2024,45567476.59839722,Total,XGBoost
EGY,2024,86764921.83899353,Total,XGBoost
IRQ,2024,103576583.64064209,Total,XGBoost
JOR,2024,27013871.956938785,Total,XGBoost
KSA,2024,229722455.9435254,Total,XGBoost
KWT,2024,40168558.28288468,Total,XGBoost
LBN,2024,19486895.808698732,Total,XGBoost
LBY,2024,26049918.151459962,Total,XGBoost
MAR,2024,79110664.6712207,Total,XGBoost
OMN,2024,41706362.20753357,Total,XGBoost
QAT,2024,34583382.04518417,Total,XGBoost
SD,2024,7985024.555100098,Total,XGBoost
UEA,2024,482064836.704458,Total,XGBoost
YEM,2024,13564513.856679382,Total,XGBoost
BHR,2024,169852.9018646681,Average,XGBoost
DZA,2024,469767.79998347646,Average,XGBoost
EGY,2024,903801.2691561827,Average,XGBoost
IRQ,2024,1067799.8313468257,Average,XGBoost
JOR,2024,284356.5469151451,Average,XGBoost
KSA,2024,2368272.741685829,Average,XGBoost
KWT,2024,414108.84827716165,Average,XGBoost
LBN,2024,200895.83307936837,Average,XGBoost
LBY,2024,268555.857231546,Average,XGBoost
MAR,2024,815573.8625899042,Average,XGBoost
OMN,2024,434441.27299514133,Average,XGBoost
QAT,2024,356529.7118060224,Average,XGBoost
SD,2024,83177.33911562602,Average,XGBoost
UEA,2024,4969740.584582041,Average,XGBoost
YEM,2024,139840.34903793177,Average,XGBoost
BHR,2025,17959600.489655115,Total,XGBoost
DZA,2025,49341169.57238943,Total,XGBoost
EGY,2025,95219370.14429975,Total,XGBoost
IRQ,2025,112977643.8112255,Total,XGBoost
JOR,2025,29555577.29266168,Total,XGBoost
KSA,2025,249080325.9053095,Total,XGBoost
KWT,2025,43234951.639090315,Total,XGBoost
LBN,2025,21693476.266382813,Total,XGBoost
LBY,2025,28572883.35546258,Total,XGBoost
MAR,2025,86853148.26860079,Total,XGBoost
OMN,2025,46185885.935790256,Total,XGBoost
QAT,2025,37191238.057572104,Total,XGBoost
SD,2025,8750395.491771325,Total,XGBoost
UEA,2025,523676890.314089,Total,XGBoost
YEM,2025,14731609.716191705,Total,XGBoost
BHR,2025,185150.5205119084,Average,XGBoost
DZA,2025,508671.8512617467,Average,XGBoost
EGY,2025,991868.4390031224,Average,XGBoost
IRQ,2025,1164717.9774353146,Average,XGBoost
JOR,2025,311111.33992275456,Average,XGBoost
KSA,2025,2567838.4113949435,Average,XGBoost
KWT,2025,445721.15091845684,Average,XGBoost
LBN,2025,223644.08522044137,Average,XGBoost
LBY,2025,294565.807788274,Average,XGBoost
MAR,2025,895393.2811195957,Average,XGBoost
OMN,2025,481102.97849781514,Average,XGBoost
QAT,2025,383414.8253357949,Average,XGBoost
SD,2025,91149.95303928464,Average,XGBoost
UEA,2025,5398730.827980299,Average,XGBoost
YEM,2025,151872.2651153784,Average,XGBoost
BHR,2026,19606487.511051558,Total,XGBoost
DZA,2026,53488504.899093285,Total,XGBoost
EGY,2026,104701681.11906737,Total,XGBoost
IRQ,2026,123463470.60430868,Total,XGBoost
JOR,2026,32401062.708167933,Total,XGBoost
KSA,2026,270491460.46267736,Total,XGBoost
KWT,2026,46572644.20910342,Total,XGBoost
LBN,2026,24212832.48028288,Total,XGBoost
LBY,2026,31420947.847452126,Total,XGBoost
MAR,2026,95605565.33563241,Total,XGBoost
OMN,2026,51277631.39504267,Total,XGBoost
QAT,2026,40047686.407611325,Total,XGBoost
SD,2026,9604297.25158997,Total,XGBoost
UEA,2026,569441167.333606,Total,XGBoost
YEM,2026,16020002.599112093,Total,XGBoost
BHR,2026,202128.73722733566,Average,XGBoost
DZA,2026,551427.8855576627,Average,XGBoost
EGY,2026,1090642.5116569519,Average,XGBoost
IRQ,2026,1272819.284580502,Average,XGBoost
JOR,2026,341063.8179807151,Average,XGBoost
KSA,2026,2788571.7573471894,Average,XGBoost
KWT,2026,480130.35267116927,Average,XGBoost
LBN,2026,249616.82969363793,Average,XGBoost
LBY,2026,323927.2973964137,Average,XGBoost
MAR,2026,985624.384903427,Average,XGBoost
OMN,2026,534141.9936983612,Average,XGBoost
QAT,2026,412862.74647021986,Average,XGBoost
SD,2026,100044.76303739553,Average,XGBoost
UEA,2026,5870527.498284598,Average,XGBoost
YEM,2026,165154.66597022777,Average,XGBoost
BHR,2027,21437431.57382189,Total,XGBoost
DZA,2027,58052010.118502714,Total,XGBoost
EGY,2027,115355724.8942485,Total,XGBoost
IRQ,2027,135185779.48593077,Total,XGBoost
JOR,2027,35593439.92181712,Total,XGBoost
KSA,2027,294216171.8618792,Total,XGBoost
KWT,2027,50208148.424413234,Total,XGBoost
LBN,2027,27095360.7204581,Total,XGBoost
LBY,2027,34644444.62927092,Total,XGBoost
MAR,2027,105521381.52031347,Total,XGBoost
OMN,2027,57078755.40916376,Total,XGBoost
